,genres,app_name,item_id,developer,user_id,recommend,sentiment_analysis,playtime_forever
28,Action,Alien: Isolation,214490,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",76561198071955492,True,1,36.0
29,Adventure,The Walking Dead,207610,Telltale Games,76561198071955492,True,0,36.0
30,Action,Vampire: The Masquerade - Bloodlines,2600,Troika Games,76561198071955492,True,1,36.0
38,Action,Half-Life,70,Valve,76561197970812298,True,2,70.0
39,RPG,The Witcher 2: Assassins of Kings Enhanced Edition,20920,CD PROJEKT RED,76561197970812298,True,2,70.0
40,Action,Half-Life 2,220,Valve,76561197970812298,True,2,70.0
41,Action,Half-Life,70,Valve,meeeedie,True,1,193.0
42,Action,Counter-Strike: Global Offensive,730,Valve,meeeedie,True,2,193.0
43,"Free to Play, Indie",Without Within,345650,InvertMouse,meeeedie,False,0,193.0
44,"Indie, RPG",Undertale,391540,tobyfox,meeeedie,True,2,193.0
45,"Adventure, Free to Play, Indie",Fingerbones,391270,David Szymanski,meeeedie,False,1,193.0
46,Adventure,Go! Go! Nippon! ~My First Trip to Japan~,251870,OVERDRIVE,meeeedie,False,0,193.0
47,"Action, Free to Play",Team Fortress 2,440,Valve,meeeedie,True,0,193.0
61,Action,Half-Life,70,Valve,The-Dunktown-Express,True,2,1286.0
62,Strategy,Age of Empires II HD,221380,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",The-Dunktown-Express,True,1,1286.0
63,"Action, Adventure",Tomb Raider,203160,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",The-Dunktown-Express,True,0,1286.0
64,"Action, Adventure, Strategy",Brutal Legend,225260,Double Fine Productions,The-Dunktown-Express,True,1,1286.0
65,"Action, Adventure",Prototype 2,115320,Radical Entertainment,The-Dunktown-Express,True,0,1286.0
70,Action,Half-Life,70,Valve,Auditore70,True,2,622.0
71,"Action, Free to Play, Indie",Fistful of Frags,265630,Fistful of Frags Team,Auditore70,False,2,622.0
72,"Action, Indie",Guncraft,241720,Exato Games Studio,Auditore70,True,2,622.0
73,"Action, Indie",Chivalry: Medieval Warfare,219640,Torn Banner Studios,Auditore70,True,0,622.0
74,"Free to Play, Massively Multiplayer, RPG",EverQuest® II Free-To-Play. Your Way.™,201230,Daybreak Game Company,Auditore70,True,2,622.0
82,Action,Half-Life,70,Valve,Engurneer,True,1,23.0
83,"Action, Adventure",Portal 2,620,Valve,Engurneer,True,1,23.0
84,"Adventure, Indie",The Stanley Parable,221910,Galactic Cafe,Engurneer,True,0,23.0
85,"Action, Adventure, Casual, Free to Play, Indie",Unturned,304930,Smartly Dressed Games,Engurneer,True,1,23.0
86,"Indie, Simulation, Early Access",Besiege,346010,Spiderling Studios,Engurneer,True,0,23.0
87,"Action, Free to Play, Massively Multiplayer",PlanetSide 2,218230,Daybreak Game Company,Engurneer,True,1,23.0
88,Action,Half-Life 2,220,Valve,Engurneer,True,2,23.0
98,Action,Half-Life,70,Valve,76561198085571748,True,2,1.0
99,Simulation,The Sims™ 3,47890,The Sims Studio,76561198085571748,True,2,1.0
100,"Adventure, Casual, Free to Play, RPG, Simulation, Strategy",Ragnarok Clicker,493370,Playsaurus,76561198085571748,False,0,1.0
101,"Action, Adventure, Free to Play, Indie",Half-Life: Before,261980,Andrii Vintsevych,76561198085571748,False,0,1.0
102,"Action, Free to Play, Indie",No More Room in Hell,224260,No More Room in Hell Team,76561198085571748,False,2,1.0
103,"Action, Adventure, Indie",Cry of Fear,223710,Team Psykskallar,76561198085571748,False,0,1.0
106,Action,Half-Life,70,Valve,LayzeeBoi,True,2,25.0
107,Action,Half-Life,70,Valve,midniteviii,True,2,1485.0
108,"Action, Free to Play, Indie",Fistful of Frags,265630,Fistful of Frags Team,midniteviii,True,2,1485.0
109,"Action, Adventure, Indie, RPG",ORION: Prelude,104900,"Trek Industries, Inc",midniteviii,True,0,1485.0
110,Indie,Bad Rats: the Rats' Revenge,34900,Invent4 Entertainment,midniteviii,False,0,1485.0
111,Action,Half-Life,70,Valve,i_dont_give_a_jacks_ass,True,1,4.0
112,"Action, Adventure",Portal 2,620,Valve,i_dont_give_a_jacks_ass,True,0,4.0
113,"Action, Adventure, Casual, Indie",Foul Play,244810,"Mediatonic,The Irregular Corporation",i_dont_give_a_jacks_ass,True,1,4.0
114,"Action, Adventure",Spec Ops: The Line,50300,Yager Development,i_dont_give_a_jacks_ass,True,2,4.0
115,Action,Saints Row: The Third,55230,Volition,i_dont_give_a_jacks_ass,True,1,4.0
123,Action,Half-Life,70,Valve,pandasmokingbamboo,True,2,225.0
124,"Action, Free to Play",Warframe,230410,Digital Extremes,pandasmokingbamboo,True,2,225.0
125,Action,Half-Life 2,220,Valve,pandasmokingbamboo,True,2,225.0
126,Action,Half-Life,70,Valve,patpat14,True,0,424.0
127,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,patpat14,True,2,424.0
128,"Action, Adventure",Portal 2,620,Valve,patpat14,True,2,424.0
129,"Action, Casual, Free to Play, Indie",Sven Co-op,225840,Sven Co-op Team,patpat14,True,2,424.0
130,"Action, Free to Play",Team Fortress 2,440,Valve,patpat14,True,2,424.0
131,Action,Half-Life 2,220,Valve,patpat14,True,2,424.0
138,Action,Half-Life,70,Valve,matrix12384,True,2,122.0
139,Strategy,Sid Meier's Civilization® V,8930,"Firaxis Games,Aspyr (Mac, Linux)",matrix12384,True,2,122.0
140,"Adventure, Casual, Strategy",Scribblenauts Unlimited,218680,5th Cell Media,matrix12384,True,2,122.0
141,Action,Crysis 2 - Maximum Edition,108800,Crytek Studios,matrix12384,True,2,122.0
142,"Action, Simulation, Strategy",Arma 2: Operation Arrowhead,33930,Bohemia Interactive,matrix12384,True,2,122.0
143,Action,Counter-Strike: Source,240,Valve,matrix12384,True,2,122.0
144,Action,Half-Life,70,Valve,GAHK,True,2,340.0
145,"Action, RPG",Fallout: New Vegas,22380,Obsidian Entertainment,GAHK,True,2,340.0
146,RPG,Fallout 4,377160,Bethesda Game Studios,GAHK,False,0,340.0
147,Action,Half-Life 2: Episode Two,420,Valve,GAHK,True,2,340.0
148,Action,Half-Life 2,220,Valve,GAHK,True,2,340.0
149,Action,Half-Life 2: Episode One,380,Valve,GAHK,True,2,340.0
150,Action,Half-Life,70,Valve,ceffly,True,2,150.0
151,Action,Dead Space,17470,EA Redwood Shores,ceffly,True,0,150.0
152,"Action, Adventure, Casual, Free to Play, Indie",Unturned,304930,Smartly Dressed Games,ceffly,False,0,150.0
153,"Action, RPG",Magicka,42910,Arrowhead Game Studios,ceffly,True,2,150.0
154,Action,Half-Life,70,Valve,76561198056482812,True,2,50.0
155,"Indie, RPG",Undertale,391540,tobyfox,76561198056482812,True,2,50.0
156,Action,Half-Life,70,Valve,76561198054970463,True,1,8.0
157,Action,Call of Duty®: Black Ops,42700,Treyarch,76561198054970463,True,1,8.0
158,Action,Killing Floor,1250,Tripwire Interactive,76561198054970463,True,1,8.0
159,"Action, Strategy",Company of Heroes - Legacy Edition,4560,Relic Entertainment,76561198054970463,True,1,8.0
160,Action,Half-Life 2,220,Valve,76561198054970463,True,1,8.0
161,Action,Half-Life,70,Valve,coolman1342,True,2,617.0
162,Action,Half-Life,70,Valve,76561198069139035,False,2,125.0
163,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,76561198069139035,True,2,125.0
164,Simulation,Woodcutter Simulator 2013,267610,United Independent Entertainment GmbH,76561198069139035,True,0,125.0
165,"Action, Free to Play",Codename CURE,355180,Hoobalugalar_X,76561198069139035,False,2,125.0
166,Action,STAR WARS™ Jedi Knight - Jedi Academy™,6020,"Raven Software,Aspyr (Mac)",76561198069139035,True,0,125.0
167,Casual,Peggle Extreme,3483,"PopCap Games, Inc.",76561198069139035,True,1,125.0
168,Action,Half-Life,70,Valve,dragonlore23,True,2,1082.0
169,RPG,Fallout 2: A Post Nuclear Role Playing Game,38410,Black Isle Studios,dragonlore23,True,2,1082.0
170,"Action, Adventure",Portal 2,620,Valve,dragonlore23,True,2,1082.0
171,"Action, Casual, Indie, Strategy",Sanctum,91600,Coffee Stain Studios,dragonlore23,True,2,1082.0
172,"Casual, Indie, Simulation",Goat Simulator,265930,Coffee Stain Studios,dragonlore23,True,1,1082.0
173,Strategy,Magic 2014 — Duels of the Planeswalkers,213850,Stainless Games,dragonlore23,True,2,1082.0
174,"Action, Adventure, Indie, RPG",Terraria,105600,Re-Logic,dragonlore23,True,2,1082.0
175,Action,Portal,400,Valve,dragonlore23,True,2,1082.0
176,Action,Half-Life 2,220,Valve,dragonlore23,True,2,1082.0
177,Action,Half-Life 2: Episode One,380,Valve,dragonlore23,True,2,1082.0
178,Action,Half-Life,70,Valve,DudeJazza,True,2,1690.0
179,Action,Half-Life,70,Valve,76561198054544978,True,0,96.0
180,"Action, Free to Play, Indie",No More Room in Hell,224260,No More Room in Hell Team,76561198054544978,True,2,96.0
181,"Adventure, Indie",Antichamber,219890,Alexander Bruce,76561198054544978,True,2,96.0
182,"Action, Free to Play",Team Fortress 2,440,Valve,76561198054544978,True,2,96.0
183,Action,Half-Life: Blue Shift,130,Gearbox Software,76561198054544978,True,0,96.0
199,Action,Half-Life,70,Valve,MartinMayonnaise,True,2,1150.0
200,Action,Half-Life,70,Valve,h00py,True,2,1992.0
215,Action,Half-Life,70,Valve,cat1,True,2,105.0
216,"Action, Indie, RPG",Nuclear Throne,242680,Vlambeer,cat1,True,0,105.0
217,Adventure,Damned,251170,9heads Game Studios,cat1,False,2,105.0
218,"Action, Casual, Indie, Early Access",Cavern Kings,321830,Vine,cat1,True,2,105.0
219,Action,Half-Life,70,Valve,RAINZFOXX,True,2,513.0
220,"Action, Adventure",Alan Wake,108710,Remedy Entertainment,RAINZFOXX,True,2,513.0
221,RPG,FINAL FANTASY VII,39140,Square Enix,RAINZFOXX,True,2,513.0
222,Action,Wolfenstein: The New Order,201810,Machine Games,RAINZFOXX,True,1,513.0
223,"Action, Adventure",Alan Wake's American Nightmare,202750,Remedy Entertainment,RAINZFOXX,True,2,513.0
224,Action,Deus Ex: Game of the Year Edition,6910,Ion Storm,RAINZFOXX,True,2,513.0
231,Action,Half-Life,70,Valve,512356,True,1,37.0
232,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,512356,True,1,37.0
233,Action,PAYDAY™ The Heist,24240,OVERKILL Software,512356,True,1,37.0
234,"Action, Free to Play",Team Fortress 2,440,Valve,512356,True,1,37.0
235,Action,Call of Duty®,2620,Infinity Ward,512356,True,1,37.0
236,Action,Counter-Strike: Source,240,Valve,512356,True,1,37.0
237,Action,Half-Life,70,Valve,epic_doom,True,2,41.0
238,"Action, Adventure, Free to Play, Indie",Estranged: Act I,261820,Alan Edwardes,epic_doom,True,2,41.0
239,"Action, Casual, Free to Play, Massively Multiplayer",Counter-Strike Nexon: Zombies,273110,Nexon,epic_doom,True,0,41.0
240,"Action, Free to Play, Indie, Massively Multiplayer, Sports",World of Soccer online,393410,Johannes Eski,epic_doom,True,2,41.0
241,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG",8BitMMO,250420,Archive Entertainment,epic_doom,True,2,41.0
242,"Action, Adventure, Indie, RPG",ORION: Prelude,104900,"Trek Industries, Inc",epic_doom,True,2,41.0
243,Action,Counter-Strike,10,Valve,epic_doom,True,1,41.0
244,Action,Half-Life,70,Valve,76561198034940671,True,1,1218.0
245,"Action, Adventure, Casual, Indie, RPG",Castle Crashers®,204360,The Behemoth,76561198034940671,True,1,1218.0
246,Action,Left 4 Dead 2,550,Valve,76561198034940671,True,0,1218.0
247,"Action, Free to Play",Team Fortress 2,440,Valve,76561198034940671,True,2,1218.0
248,Action,Half-Life,70,Valve,76561198037529631,True,2,1.0
249,Action,Half-Life,70,Valve,Spasticmario,True,2,2596.0
250,"Action, Adventure, Indie",RWBY: Grimm Eclipse,418340,Rooster Teeth Games,Spasticmario,True,2,2596.0
251,"Action, Adventure",Just Cause 2,8190,Avalanche Studios,Spasticmario,True,2,2596.0
252,Action,Half-Life: Source,280,Valve,Spasticmario,True,2,2596.0
266,Action,Half-Life,70,Valve,-Ultrix,True,2,10.0
267,Action,Half-Life,70,Valve,supercheesetoaster,True,2,1007.0
268,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,supercheesetoaster,True,2,1007.0
269,"Action, Indie",Geometry Dash,322170,RobTop Games,supercheesetoaster,True,2,1007.0
270,"Free to Play, Indie",The Way of Life Free Edition,310370,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita",supercheesetoaster,True,1,1007.0
271,"Action, Free to Play",Team Fortress 2,440,Valve,supercheesetoaster,True,2,1007.0
275,Action,Half-Life,70,Valve,pizzajesus,True,0,44.0
276,"Action, Adventure, Indie, Simulation",Guns of Icarus Online,209080,Muse Games,pizzajesus,True,2,44.0
277,"Free to Play, Indie",The Way of Life Free Edition,310370,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita",pizzajesus,False,0,44.0
282,"Action, Indie, RPG",The Ship: Murder Party,2400,Outerlight Ltd.,DeadFishCorporation,True,0,196.0
283,"Indie, Simulation, Strategy",The Last Federation,273070,"Arcen Games, LLC",DeadFishCorporation,True,1,196.0
284,"Action, Indie, RPG",The Ship: Murder Party,2400,Outerlight Ltd.,76561198077337646,True,2,120.0
285,"Action, Free to Play, Indie",Brawlhalla,291550,Blue Mammoth Games,76561198077337646,True,0,120.0
286,"Action, Free to Play, Massively Multiplayer, Strategy",Block N Load,299360,"Jagex,Artplant",76561198077337646,True,2,120.0
287,"Action, Indie, RPG",The Ship: Murder Party,2400,Outerlight Ltd.,Tacos4Lyfe,True,0,45.0
288,Action,Counter-Strike: Global Offensive,730,Valve,Tacos4Lyfe,True,2,45.0
289,"Action, Adventure",METAL GEAR SOLID V: THE PHANTOM PAIN,287700,Konami Digital Entertainment,Tacos4Lyfe,True,0,45.0
290,"Simulation, Strategy",Stellaris,281990,Paradox Development Studio,Tacos4Lyfe,True,2,45.0
291,"Action, Adventure, Indie",Woodle Tree Adventures,299460,Fabio Ferrara,Tacos4Lyfe,True,2,45.0
292,"Action, Strategy",Nuclear Dawn,17710,"GameConnect,InterWave Studios",Tacos4Lyfe,False,0,45.0
293,"Action, Indie, RPG",The Ship: Murder Party,2400,Outerlight Ltd.,kamakze751,True,2,173.0
294,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,kamakze751,True,2,173.0
295,"Action, Adventure, Indie",Contagion,238430,"Monochrome, Inc",kamakze751,True,2,173.0
296,Action,Halo: Spartan Assault,277430,"Vanguard Games,343 Industries",kamakze751,True,2,173.0
297,"Action, Adventure, Indie, RPG",Dungeon Souls,383230,"Lamina Studios,Mike Studios",kamakze751,True,2,173.0
298,"Action, Free to Play, Indie",ArcheBlade™,207230,CodeBrush Games,kamakze751,True,2,173.0
299,"Action, Adventure, Indie, RPG",Hammerwatch,239070,Crackshell,kamakze751,True,2,173.0
300,"Action, Indie, RPG",The Ship: Murder Party,2400,Outerlight Ltd.,76561198065138903,True,2,6.0
301,"Adventure, Indie, Simulation",Don't Starve Together,322330,Klei Entertainment,76561198065138903,True,2,6.0
312,"Action, Indie, RPG",The Ship: Murder Party,2400,Outerlight Ltd.,76561197996992703,True,2,14.0
313,Action,Killing Floor 2,232090,Tripwire Interactive,76561197996992703,True,2,14.0
316,"Action, Indie, RPG",The Ship: Murder Party,2400,Outerlight Ltd.,INFERNOpineapple,False,0,120.0
317,"Action, Free to Play, Massively Multiplayer",APB Reloaded,113400,Reloaded Productions,INFERNOpineapple,False,2,120.0
318,"Action, Indie, Simulation",Surgeon Simulator,233720,Bossa Studios,INFERNOpineapple,True,2,120.0
319,"Indie, RPG, Simulation, Strategy",Long Live The Queen,251990,Hanako Games,INFERNOpineapple,True,0,120.0
320,"Action, Free to Play, Indie",No More Room in Hell,224260,No More Room in Hell Team,INFERNOpineapple,True,2,120.0
321,"Action, Adventure, Indie",Deadlight,211400,"Tequila Works, S.L.",INFERNOpineapple,True,2,120.0
322,Strategy,Worms Revolution,200170,Team17 Digital Ltd,INFERNOpineapple,True,2,120.0
323,"Indie, Simulation, Strategy",FTL: Faster Than Light,212680,Subset Games,INFERNOpineapple,True,0,120.0
324,"Action, Free to Play, Indie",Zombie Panic! Source,17500,Zombie Panic Team,INFERNOpineapple,True,2,120.0
331,"Action, Indie, RPG",The Ship: Murder Party,2400,Outerlight Ltd.,76561198070548390,True,2,21.0
332,"Adventure, Indie, Simulation, Strategy",The Long Dark,305620,Hinterland Studio Inc.,76561198070548390,True,2,21.0
333,"Action, Free to Play, Indie",Double Action: Boogaloo,317360,Double Action Factory,76561198070548390,True,2,21.0
343,"Action, Indie, RPG",The Ship: Murder Party,2400,Outerlight Ltd.,aussiedude101101,True,2,69.0
344,"Action, Indie, RPG",The Ship: Murder Party,2400,Outerlight Ltd.,jacobissick,True,2,612.0
345,"Action, Free to Play, Massively Multiplayer, RPG",Defiance,224600,"Trion Worlds, Inc.",jacobissick,False,2,612.0
346,"Action, Adventure, Indie, RPG",ORION: Prelude,104900,"Trek Industries, Inc",jacobissick,False,0,612.0
347,"Action, RPG",Borderlands 2,49520,"Gearbox Software,Aspyr (Mac &amp; Linux)",jacobissick,True,1,612.0
348,Action,Saints Row: The Third,55230,Volition,jacobissick,True,1,612.0
356,"Action, Indie, RPG",The Ship: Murder Party,2400,Outerlight Ltd.,caydrobertson,True,0,44.0
357,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,caydrobertson,True,2,44.0
358,"Action, Adventure, Casual, Indie",BattleBlock Theater®,238460,The Behemoth,caydrobertson,True,2,44.0
359,"Action, Adventure, Casual, Free to Play, Indie",Unturned,304930,Smartly Dressed Games,caydrobertson,True,1,44.0
360,"Action, RPG",Magicka,42910,Arrowhead Game Studios,caydrobertson,True,2,44.0
361,"Action, Strategy, Indie, Casual",Swords and Soldiers HD,63500,Ronimo Games,caydrobertson,True,2,44.0
368,Action,Advent Rising,3800,GlyphX Games,DrQuaz,True,2,393.0
369,Strategy,Sid Meier's Civilization® V,8930,"Firaxis Games,Aspyr (Mac, Linux)",DrQuaz,True,2,393.0
370,Strategy,Galactic Civilizations® II: Ultimate Edition,202200,Stardock Entertainment,DrQuaz,True,2,393.0
371,"Adventure, Indie",The Stanley Parable,221910,Galactic Cafe,DrQuaz,True,2,393.0
372,"Simulation, Strategy",Rise of Nations: Extended Edition,287450,"SkyBox Labs,Big Huge Games",DrQuaz,True,1,393.0
373,Strategy,Sword of the Stars II: Enhanced Edition,42990,Kerberos Productions,DrQuaz,False,2,393.0
374,"Action, Indie",Chivalry: Medieval Warfare,219640,Torn Banner Studios,DrQuaz,True,2,393.0
375,"Indie, Strategy",DEFCON,1520,Introversion Software,archsniper9,True,2,6411.0
376,Strategy,Napoleon: Total War™,34030,"The Creative Assembly,Feral Interactive (Mac)",archsniper9,True,2,6411.0
377,Strategy,Hearts of Iron III,25890,Paradox Development Studio,archsniper9,True,2,6411.0
378,"Indie, Strategy",DEFCON,1520,Introversion Software,mozzie-killer,True,2,200.0
379,"Action, Adventure",Spec Ops: The Line,50300,Yager Development,mozzie-killer,True,2,200.0
380,Strategy,Naval War: Arctic Circle,200050,Turbo Tape Games,mozzie-killer,True,0,200.0
381,"Action, Simulation, Strategy",Arma 2: Operation Arrowhead,33930,Bohemia Interactive,mozzie-killer,True,2,200.0
395,"Indie, Strategy",DEFCON,1520,Introversion Software,FatPimp,True,2,10.0
396,"Indie, Simulation",Welcome to the Game,485380,Reflect Studios,FatPimp,True,1,10.0
397,"Action, Adventure",Grand Theft Auto V,271590,Rockstar North,FatPimp,True,2,10.0
398,"Indie, Strategy",DEFCON,1520,Introversion Software,goonmurry,False,1,6418.0
399,"Action, Free to Play",Team Fortress 2,440,Valve,goonmurry,True,2,6418.0
400,"Indie, Strategy",DEFCON,1520,Introversion Software,Ogargd,True,2,1904.0
401,"Action, Indie, RPG",The Ship: Single Player,2420,Outerlight Ltd.,76561198060713420,True,2,9.0
402,Strategy,XCOM: Enemy Unknown,200510,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",76561198060713420,True,2,9.0
403,"Action, Indie, RPG",The Ship: Single Player,2420,Outerlight Ltd.,ristoff-,True,2,315.0
408,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,76561198048353577,True,2,1061.0
409,"Indie, Simulation, Strategy",Kingdom: Classic,368230,"Noio,Licorice",76561198048353577,True,0,1061.0
410,"Action, Simulation, Strategy",Arma 2: Operation Arrowhead,33930,Bohemia Interactive,76561198048353577,True,2,1061.0
413,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,diego9031,True,1,1636.0
414,Action,Grand Theft Auto III,12100,Rockstar Games,diego9031,True,1,1636.0
415,"Adventure, Indie, Simulation",Don't Starve Together,322330,Klei Entertainment,diego9031,True,1,1636.0
416,"Action, Free to Play, Massively Multiplayer, Strategy",Block N Load,299360,"Jagex,Artplant",diego9031,True,1,1636.0
417,"Action, Free to Play, Indie",Double Action: Boogaloo,317360,Double Action Factory,diego9031,True,1,1636.0
418,"Action, Free to Play, Indie",No More Room in Hell,224260,No More Room in Hell Team,diego9031,True,2,1636.0
419,"Action, Adventure, Indie",Cry of Fear,223710,Team Psykskallar,diego9031,True,1,1636.0
420,"Action, Adventure, Casual, Indie, RPG",Castle Crashers®,204360,The Behemoth,diego9031,True,2,1636.0
421,Action,Killing Floor,1250,Tripwire Interactive,diego9031,True,1,1636.0
422,"Action, Free to Play",Team Fortress 2,440,Valve,diego9031,True,1,1636.0
423,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,76561198090715178,True,2,1204.0
424,"Action, Adventure, Casual, Free to Play, Indie",Unturned,304930,Smartly Dressed Games,76561198090715178,True,2,1204.0
425,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,AVATAR715,True,2,905.0
426,"Indie, Massively Multiplayer, Strategy",The Castle Doctrine,249570,Jason Rohrer,AVATAR715,True,2,905.0
427,"Action, Free to Play, Indie, Strategy",Toribash,248570,Nabi Studios,AVATAR715,True,0,905.0
428,"Free to Play, Strategy",Magic Duels,316010,Stainless Games Ltd.,AVATAR715,True,2,905.0
429,"Casual, Free to Play, Indie, Early Access",Anarchy Arcade,266430,Elijah Newman-Gomez,AVATAR715,True,2,905.0
430,"Adventure, Indie, RPG, Simulation",Pixel Piracy,264140,Vitali Kirpu,AVATAR715,True,2,905.0
431,"Action, Free to Play",Team Fortress 2,440,Valve,AVATAR715,True,2,905.0
432,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,DemonicWolvz,True,1,194.0
433,Action,Killing Floor 2,232090,Tripwire Interactive,DemonicWolvz,True,2,194.0
434,"Action, Free to Play, Indie",No More Room in Hell,224260,No More Room in Hell Team,DemonicWolvz,True,2,194.0
435,"Action, Adventure",Saints Row IV,206420,Deep Silver Volition,DemonicWolvz,True,2,194.0
436,Action,Saints Row: The Third,55230,Volition,DemonicWolvz,True,2,194.0
437,Action,Left 4 Dead 2,550,Valve,DemonicWolvz,True,2,194.0
438,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,washington_,True,2,599.0
439,Action,Call of Duty®: Modern Warfare® 2,10180,"Infinity Ward,Aspyr (Mac)",washington_,True,1,599.0
440,"Action, Adventure, Casual, Indie, RPG",Starbound,211820,Chucklefish,washington_,True,1,599.0
441,"Adventure, Casual, Free to Play, Indie, Simulation",Emily is Away,417860,Kyle Seeley,washington_,True,0,599.0
442,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access",Rust,252490,Facepunch Studios,washington_,True,1,599.0
443,"Action, Free to Play",Team Fortress 2,440,Valve,washington_,False,2,599.0
451,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,tarjla,True,2,21.0
452,Action,Counter-Strike: Global Offensive,730,Valve,tarjla,True,2,21.0
453,"Action, Adventure, Indie, Simulation, Early Access",The Forest,242760,Endnight Games Ltd,tarjla,True,2,21.0
454,"Action, Adventure, Casual, Indie, RPG",Starbound,211820,Chucklefish,tarjla,True,2,21.0
455,"Action, Indie, RPG",Fragmented,441790,Above and Beyond Technologies,tarjla,True,2,21.0
456,"Action, Adventure, Casual, Free to Play, Indie",Unturned,304930,Smartly Dressed Games,tarjla,True,2,21.0
457,"Action, Indie",Secret Ponchos,265750,Switchblade Monkeys Entertainment,tarjla,True,2,21.0
458,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access",Rust,252490,Facepunch Studios,tarjla,True,2,21.0
459,"Action, Adventure, Indie, RPG",Terraria,105600,Re-Logic,tarjla,True,2,21.0
460,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,hellcat59,True,2,55.0
461,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,I_DID_911_JUST_SAYING,True,2,4694.0
462,"Action, Free to Play, Indie",Gear Up,214420,Doctor Entertainment AB,I_DID_911_JUST_SAYING,True,2,4694.0
463,"Adventure, Casual, Indie",Little Inferno,221260,Tomorrow Corporation,I_DID_911_JUST_SAYING,True,2,4694.0
464,"Action, Free to Play",Team Fortress 2,440,Valve,I_DID_911_JUST_SAYING,True,2,4694.0
467,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,SlutOnTheSpit,True,2,57.0
479,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,76561198082992295,True,2,15.0
480,"Action, Free to Play",Warframe,230410,Digital Extremes,76561198082992295,True,2,15.0
481,"Action, Free to Play",Team Fortress 2,440,Valve,76561198082992295,True,2,15.0
482,"Indie, Simulation",Garry's Mod,4000,Facepunch Studios,Astrelt,True,2,179.0
